,year_only,Inflation rate value,Total CPI-Adjusted Cost (Millions of Dollars)
0,1980,82383.33333333334,44434.8
1,1981,90933.33333333333,3392.1000000000004
2,1982,96533.33333333336,14765.899999999998
3,1983,99583.33333333333,26005.6
4,1984,103933.33333333334,3124.5
5,1985,107600.00000000001,21922.7
6,1986,109691.66666666667,7655.0
7,1988,118275.00000000001,53010.4
8,1989,123941.66666666667,39313.2
9,1990,130658.33333333333,14183.5
10,1991,136166.66666666666,19064.0
11,1992,140308.3333333333,77876.5
12,1993,144475.0,63933.3
13,1994,148225.0,16115.9
14,1995,152383.33333333334,34598.7
15,1996,156858.3333333333,22629.7
16,1997,160525.0,16667.1
17,1998,163008.33333333334,37203.2
18,1999,166583.3333333333,23854.2
19,2000,172191.6666666667,15123.3
20,2001,177041.66666666666,21295.9
21,2002,179866.6666666667,26459.800000000003
22,2003,184000.0,37403.399999999994
23,2004,188908.3333333333,89919.40000000001
24,2005,195266.66666666666,260463.30000000002
25,2006,201558.33333333337,24532.0
26,2007,207344.16666666666,18379.4
27,2008,215254.24999999997,91389.0
28,2009,214564.6666666667,19276.699999999997
29,2010,218076.16666666672,19625.5
30,2011,224923.0,95487.00000000001
31,2012,229586.08333333328,154845.90000000002
32,2013,232951.74999999997,31420.800000000003
33,2014,236715.0,24828.800000000003
34,2015,237001.75,30111.5
35,2016,240005.41666666666,59570.9
36,2017,245121.0,383626.39999999997
37,2018,251099.49999999994,112967.70000000001
38,2019,255651.66666666666,54126.899999999994
39,2020,258850.5833333333,117606.00000000001
40,2021,270971.4166666667,159869.6
41,2022,292612.49999999994,183257.4
42,2023,302340.83333333326,88212.20000000001
